op_id_full,anio,mode,categoria_canon,amount_usd,real_usd,pred_usd,error_usd,error_pct
25089HPER,2025,AIR,EMPAQUE,26905.6,8522.0,5926.9,-2595.1,30.5
25149HPER,2025,SEA,SUSTRATOS,59188.8,9259.9,12029.8,2769.9,29.9
25153HPER,2025,SEA,SUSTRATOS,59188.8,9346.7,12118.0,2771.3,29.7
25047HPER,2025,AIR,REPUESTOS,13051.78,1027.4,1331.5,304.1,29.6
25170HPER,2025,SEA,EMPAQUE,20599.92,3995.0,5162.9,1167.9,29.2
25164HPER,2025,SEA,SUSTRATOS,81001.79999999999,15223.6,10825.1,-4398.6,28.9
25027HPER,2025,AIR,REPUESTOS,5004.639999999999,975.6,1248.1,272.5,27.9
25102HPER,2025,AIR,PLANTAS,4260.8,1775.8,2257.4,481.6,27.1
25169HPER,2025,SEA,EMPAQUE,20599.92,4118.6,5198.8,1080.2,26.2
25064HPER,2025,SEA,EMPAQUE,32969.16,8532.0,10702.8,2170.8,25.4
25136HPER,2025,SEA,AGROQUIMICOS,123664.0,2629.8,3290.8,661.0,25.1
25077HPER,2025,AIR,EMPAQUE,79669.15,5660.6,7079.9,1419.3,25.1
25135HPER,2025,SEA,EMPAQUE,31500.0,8255.9,10313.0,2057.1,24.9
25155HPER,2025,SEA,SUSTRATOS,73986.0,17611.6,13318.3,-4293.4,24.4
25100HPER,2025,AIR,EQUIPOS_INSTR,1218.98,1026.7,1272.4,245.7,23.9
25076HPER,2025,SEA,EMPAQUE,21733.31,4122.2,5105.3,983.1,23.8
25053HPER,2025,SEA,EMPAQUE,76328.66,21086.2,26001.4,4915.3,23.3
25166HPER,2025,SEA,SUSTRATOS,81001.79999999999,14458.6,11101.8,-3356.8,23.2
25163HPER,2025,SEA,SUSTRATOS,81001.79999999999,14133.6,10862.4,-3271.2,23.1
25165HPER,2025,SEA,SUSTRATOS,81001.79999999999,14493.6,11159.1,-3334.5,23.0
25168HPER,2025,SEA,EMPAQUE,44835.12,8162.6,10029.4,1866.8,22.9
25140HPER,2025,SEA,SUSTRATOS,59188.8,9789.9,11992.7,2202.8,22.5
25057HPER,2025,SEA,EMPAQUE,67866.48000000001,20490.1,25087.4,4597.3,22.4
25159HPER,2025,SEA,SUSTRATOS,73986.0,12264.9,14914.2,2649.3,21.6
25177HPER,2025,AIR,EQUIPOS_INSTR,677.73,1017.4,1226.1,208.7,20.5
25185HPER,2025,AIR,REPUESTOS,14686.87,2031.2,1615.8,-415.4,20.4
25154HPER,2025,SEA,SUSTRATOS,73986.0,16644.6,13318.3,-3326.3,20.0
25158HPER,2025,SEA,SUSTRATOS,73986.0,12504.7,14914.2,2409.6,19.3
25182HPER,2025,AIR,REPUESTOS,12252.0,1719.3,1390.9,-328.4,19.1
25146HPER,2025,AIR,REPUESTOS,7584.04,1074.8,1275.2,200.3,18.6
25071HPER,2025,SEA,EMPAQUE,32969.16,8088.2,9576.8,1488.6,18.4
25105HPER,2025,AIR,PLANTAS,4299.2,1973.0,2332.3,359.3,18.2
25079HPER,2025,SEA,AGROQUIMICOS,99828.0,6041.0,4987.5,-1053.6,17.4
25104HPER,2025,AIR,PLANTAS,31.5,1697.3,1403.6,-293.6,17.3
25156HPER,2025,SEA,SUSTRATOS,73986.0,16087.7,13318.3,-2769.4,17.2
25151HPER,2025,SEA,SUSTRATOS,73986.0,11663.0,13598.2,1935.2,16.6
25096HPER,2025,AIR,REPUESTOS,2389.7000000000003,908.7,1053.1,144.4,15.9
25029HPER,2025,SEA,AGROQUIMICOS,37382.4,2818.2,3260.1,442.0,15.7
25137HPER,2025,AIR,EQUIPOS_INSTR,40654.04,3861.9,3264.0,-597.9,15.5
25174HPER,2025,AIR,REPUESTOS,879.74,404.6,343.8,-60.8,15.0
25157HPER,2025,SEA,SUSTRATOS,73986.0,15614.6,13318.3,-2296.3,14.7
25050HPER,2025,SEA,EMPAQUE,55400.9,15863.8,18110.5,2246.6,14.2
25014HPER,2025,SEA,AGROQUIMICOS,296888.0,11543.9,9954.0,-1590.0,13.8
25162HPER,2025,SEA,SUSTRATOS,177566.40000000002,13996.2,12173.7,-1822.4,13.0
25039HPER,2025,AIR,REPUESTOS,26252.99,1360.0,1183.0,-177.1,13.0
25042HPER,2025,AIR,PLANTAS,1784.2,1725.3,1946.5,221.2,12.8
25048HPER,2025,SEA,AGROQUIMICOS,209568.0,7053.9,7919.4,865.5,12.3
25018HPER,2025,SEA,SUSTRATOS,61708.7,12636.1,14164.8,1528.7,12.1
25080HPER,2025,AIR,REPUESTOS,8100.79,1108.8,978.2,-130.6,11.8
25171HPER,2025,AIR,PLANTAS,4261.3,1998.4,2229.6,231.2,11.6
25124HPER,2025,SEA,MAQUINARIA,79295.85,3312.5,3691.8,379.3,11.5
25068HPER,2025,SEA,EMPAQUE,32969.16,8347.7,9288.5,940.8,11.3
25015HPER,2025,SEA,AGROQUIMICOS,17700.0,6340.8,5671.2,-669.6,10.6
25175HPER,2025,SEA,AGROQUIMICOS,17700.0,6342.2,5711.4,-630.8,9.9
25066HPER,2025,SEA,EMPAQUE,86197.77,19606.9,21483.1,1876.2,9.6
25031HPER,2025,SEA,AGROQUIMICOS,3035.9,986.0,1079.4,93.4,9.5
25141HPER,2025,SEA,SUSTRATOS,73986.0,12409.7,13504.3,1094.6,8.8
25152HPER,2025,SEA,SUSTRATOS,73986.0,14683.9,13598.2,-1085.7,7.4
25161HPER,2025,SEA,SUSTRATOS,73986.0,13517.4,14464.9,947.5,7.0
25139HPER,2025,SEA,AGROQUIMICOS,98530.0,5807.0,5424.8,-382.3,6.6
25097HPER,2025,SEA,EMPAQUE,174844.82,12242.0,11430.3,-811.7,6.6
25098HPER,2025,SEA,EMPAQUE,174847.75,12242.0,11430.3,-811.7,6.6
25036HPER,2025,SEA,AGROQUIMICOS,103220.74,9413.1,8835.5,-577.6,6.1
25186HPER,2025,SEA,SUSTRATOS,89704.0,7123.4,7551.7,428.3,6.0
25150HPER,2025,SEA,SUSTRATOS,73986.0,14427.8,13598.2,-829.6,5.8
25075HPER,2025,SEA,EMPAQUE,41758.130000000005,8494.8,8989.3,494.5,5.8
25012HPER,2025,SEA,AGROQUIMICOS,138768.0,4982.2,5250.5,268.3,5.4
25078HPER,2025,AIR,EQUIPOS_INSTR,4310.66,1291.4,1359.9,68.4,5.3
25115HPER,2025,SEA,EMPAQUE,174847.75,14149.2,13401.3,-747.9,5.3
25060HPER,2025,SEA,EMPAQUE,41808.24,12881.8,12241.5,-640.3,5.0
25160HPER,2025,SEA,SUSTRATOS,73986.0,15226.4,14464.9,-761.6,5.0
25086HPER,2025,AIR,REPUESTOS,11946.0,1138.3,1191.6,53.3,4.7
25116HPER,2025,SEA,EMPAQUE,174847.75,14004.2,13401.3,-602.9,4.3
25044HPER,2025,SEA,AGROQUIMICOS,17700.0,6523.3,6250.3,-273.0,4.2
25087HPER,2025,AIR,REPUESTOS,19613.02,1537.4,1475.6,-61.8,4.0
