,n,MAE,RMSE,WAPE,MdAPE,bias
lgbm,931.0,4854.9539795175,13063.279475139865,0.5953108108708062,0.41308460399116137,-3177.859674524023
xgb,931.0,4901.675329099464,13123.246966170223,0.6010397476685515,0.4087883088314178,-3571.7699023190835
rf,931.0,5059.774589689942,13205.095202543911,0.6204257602687258,0.43338898341595544,-3029.554414818864
ens_direct,931.0,4837.592769137176,13075.50221001335,0.5931819922923373,0.4100302864811237,-3374.8147884215527
baseline,931.0,5315.366079484425,12849.601342511698,0.651766196796685,0.5102946971437936,-3786.3610633727176
