CAMPAÑA;STATUS;OP;OC;BUYER;SUPPLIER;CATEGORY;PRODUCTO;PROYECT;FACT;QTY;UM;CUR;AMOUNT;PAYMENT TERM;INCOTERM;MODE;TYPE;POL;POD;QTY CTNR;TYPE CTNR;BULKS;CARGO READY;ASSIGMENT DATE;FFW;NAVIERA / AEROLINEA;BOOKING;CNTR NR;PICK UP DATE;STACKING;ETD 1;ETD 2;ATD;WEEK ATD;B/L- AWB;NAVE;ETA 1;ETA 2;ATA;WEEK ATA;INSURANCE HPER;INSURANCE POLICY;INSURANCE POLICY DATE;DEPOT;AG. ADUANA;Orden;FECHA IE;FECHA NUM DAM;DAM;CANAL;FECHA DESCARGA;FECHA TARJA;FECHA LEVANTE;FECHA INSPECCION SENASA;FECHA LIBERACION SENASA;FECHA VCTO SOBRESTADIA;TRANSP LIMA (T1);FECHA RETIRO (T1);GR T1 ;TRANSP TRUX (T2);FECHA ENTREGA BASE T2 (T1);FECHA GATE IN (T1);PUNTO DE LLEGADA;FECHA INICIO DE VIAJE  (T2);FECHA FIN DE VIAJE (T2);WEEK TRUX ;GR T2 ;GR HORTIFRUT;FECHA ENVIO ARCHIV;NRO CAJA ARCHIVO;COURIER PARA ENVÍO DE DOCS;NRO DE TRACKING DOCS ;OBSERVACIONES HORTIFRUT;CARGO PRODUCE OBSERVACIONES
2021-2022;LIQUIDADA;21-151-HPER ;4700002166;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/144A;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;BMOU4578200;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0685502;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1006;1/12/2021;23/12/2021;118-2021-10-496852-01-9-00;Verde;27/12/2021;28/12/2021;26/12/2021;30/12/2021;30/12/2021;;AVM;3/01/2022;;JOSELITO;3/01/2022;3/01/2022;FUNDO ARMONIA;3/01/2022;4/01/2022;1;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-151-HPER // 4700002166 // BMOU4578200]
2021-2022;LIQUIDADA;21-151-HPER ;4700002166;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/144A;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;TCNU8736903;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0685502;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1006;1/12/2021;23/12/2021;118-2021-10-496852-01-9-00;Verde;27/12/2021;28/12/2021;26/12/2021;30/12/2021;30/12/2021;;AVM;3/01/2022;;JOSELITO;3/01/2022;3/01/2022;FUNDO ARMONIA;3/01/2022;4/01/2022;1;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-151-HPER // 4700002166 // TCNU8736903]
2021-2022;LIQUIDADA;21-151-HPER ;4700002166;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/144A;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;MSCU9152696;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0685502;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1006;1/12/2021;23/12/2021;118-2021-10-496852-01-9-00;Verde;27/12/2021;28/12/2021;26/12/2021;30/12/2021;30/12/2021;;AVM;3/01/2022;;JOSELITO;3/01/2022;3/01/2022;FUNDO ARMONIA;3/01/2022;4/01/2022;1;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-151-HPER // 4700002166 // MSCU9152696]
2021-2022;LIQUIDADA;21-152-HPER;4700002167;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/144B;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;TCNU8783377;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0682665;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1007;1/12/2021;23/12/2021;118-2021-10-496908-01-4-00;Verde;27/12/2021;28/12/2021;28/12/2021;30/12/2021;30/12/2021;;AVM;3/01/2022;;AGERSA;3/01/2022;3/01/2022;FUNDO ARMONIA;19/01/2022;20/01/2022;3;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-152-HPER // 4700002167 // TCNU8783377]
2021-2022;LIQUIDADA;21-152-HPER;4700002167;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/144B;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;MEDU7841202;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0682665;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1007;1/12/2021;23/12/2021;118-2021-10-496908-01-4-00;Verde;27/12/2021;28/12/2021;28/12/2021;30/12/2021;30/12/2021;;AVM;3/01/2022;;AGERSA;3/01/2022;3/01/2022;FUNDO ARMONIA;19/01/2022;20/01/2022;3;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-152-HPER // 4700002167 // MEDU7841202]
2021-2022;LIQUIDADA;21-153-HPER;4700002149;RENE;PROJAR;SUSTRATOS;EASY PLANTER 27L;RV11;FX21-00444;7,200;UN;USD;21,372.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;24;;NA;DIRECTO;MSC;;TCNU8273774;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0683119;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1001;1/12/2021;30/12/2021;118-2021-10-507035-01-8-00;Verde;27/12/2021;28/12/2021;30/12/2021;5/01/2022;5/01/2022;;AVM;6/01/2022;;RVC;6/01/2022;6/01/2022;FUNDO ARMONIA;7/01/2022;8/01/2022;1;;;28/03/2022;2021-1;UPS;1Z48V0570491064334;;Cargada en CP -  [21-153-HPER // 4700002149 // TCNU8273774]
2021-2022;LIQUIDADA;21-153-HPER;4700002149;RENE;PROJAR;SUSTRATOS;EASY PLANTER 27L;RV11;FX21-00444;7,200;UN;USD;21,372.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;24;;NA;DIRECTO;MSC;;DFSU6047246;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0683119;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1001;1/12/2021;30/12/2021;118-2021-10-507035-01-8-00;Verde;27/12/2021;28/12/2021;30/12/2021;5/01/2022;5/01/2022;;AVM;6/01/2022;;RVC;6/01/2022;6/01/2022;FUNDO ARMONIA;7/01/2022;8/01/2022;1;;;28/03/2022;2021-1;UPS;1Z48V0570491064334;;Cargada en CP -  [21-153-HPER // 4700002149 // DFSU6047246]
2021-2022;LIQUIDADA;21-153-HPER;4700002149;RENE;PROJAR;SUSTRATOS;EASY PLANTER 27L;RV11;FX21-00444;7,200;UN;USD;21,372.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;24;;NA;DIRECTO;MSC;;BEAU5866227;NA;;18/09/2021;18/09/2021;5/09/2021;35;MEDUC0683119;MSC MANU PM147R;23/11/2021;25/12/2021;26/12/2021;51;NO;NA;NA;IMUPESA;AVM;1001;1/12/2021;30/12/2021;118-2021-10-507035-01-8-00;Verde;27/12/2021;28/12/2021;30/12/2021;5/01/2022;5/01/2022;;AVM;6/01/2022;;RVC;6/01/2022;6/01/2022;FUNDO ARMONIA;7/01/2022;8/01/2022;1;;;28/03/2022;2021-1;UPS;1Z48V0570491064334;;Cargada en CP -  [21-153-HPER // 4700002149 // BEAU5866227]
2021-2022;LIQUIDADA;21-154-HPER;4700002168;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/149;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;CAIU7761317;NA;;28/09/2021;28/09/2021;28/09/2021;39;MEDUC0693670;MSC BRANKA NX146A;2/12/2021;30/12/2021;31/12/2021;52;NO;NA;NA;IMUPESA;AVM;1008;20/12/2021;28/12/2021;118-2021-10-503065-01-1-01;Verde;1/01/2022;2/01/2022;30/12/2021;5/01/2022;5/01/2022;;AVM;6/01/2022;;AGERSA;8/01/2022;8/01/2022;FUNDO ARMONIA;21/01/2022;22/01/2022;3;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-154-HPER // 4700002168 // CAIU7761317]
2021-2022;LIQUIDADA;21-154-HPER;4700002168;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/149;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;TGHU8738472;NA;;28/09/2021;28/09/2021;28/09/2021;39;MEDUC0693670;MSC BRANKA NX146A;2/12/2021;30/12/2021;31/12/2021;52;NO;NA;NA;IMUPESA;AVM;1008;20/12/2021;28/12/2021;118-2021-10-503065-01-1-01;Verde;1/01/2022;2/01/2022;30/12/2021;5/01/2022;5/01/2022;;AVM;6/01/2022;;RVC;7/01/2022;7/01/2022;FUNDO ARMONIA;16/01/2022;17/01/2022;3;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-154-HPER // 4700002168 // TGHU8738472]
2021-2022;LIQUIDADA;21-154-HPER;4700002168;RENE;VERITAS;SUSTRATOS;"5KG NAKED BRICKS-BLUEBERRY
BLEND";RV11;202122/149;5,100;UN;USD;24,395.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;20;;NA;DIRECTO;MSC;;MEDU8079350;NA;;28/09/2021;28/09/2021;28/09/2021;39;MEDUC0693670;MSC BRANKA NX146A;2/12/2021;30/12/2021;31/12/2021;52;NO;NA;NA;IMUPESA;AVM;1008;20/12/2021;28/12/2021;118-2021-10-503065-01-1-01;Verde;1/01/2022;2/01/2022;30/12/2021;5/01/2022;5/01/2022;;AVM;6/01/2022;;AGERSA;8/01/2022;8/01/2022;FUNDO ARMONIA;23/01/2022;24/01/2022;4;;;28/03/2022;2021-1;DHL;6392678552;;Cargada en CP -  [21-154-HPER // 4700002168 // MEDU8079350]
2021-2022;LIQUIDADA;21-155-HPER;4700002160;RENE;PROJAR;SUSTRATOS;EASY PLANTER 27L;RV11;FX21-00463;7,200;UN;USD;35,844.00;20% AP;CIF;SEA;FCL/FCL;COLOMBO;CALLAO;1;40HC;24;;NA;DIRECTO;MSC;;TCNU4725557;NA;;28/09/2021;28/09/2021;28/09/2021;39;MEDUC0694702;MSC BRANKA NX146A;2/12/2021;30/12/2021;31/12/2021;52;NO;NA;NA;IMUPESA;AVM;1003;20/12/2021;28/12/2021;118-2021-10-503004-01-0-01;Verde;1/01/2022;2/01/2022;30/12/2021;5/01/2022;5/01/2022;;SLI;6/01/2022;;JOSELITO;7/01/2022;7/01/2022;FUNDO ARMONIA;17/01/2022;18/01/2022;3;;;28/03/2022;2021-1;UPS;1Z48V0570491828358;;Cargada en CP -  [21-155-HPER // 4700002160 // TCNU4725557]
