CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORY,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST RATE,ASSIGMENT DATE2,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,STACKING,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA VISTO BUENO,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),FECHA GATE IN (T1),PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX ,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,FECHA ENVIO ARCHIV,NRO CAJA ARCHIVO,COURIER PARA ENVÍO DE DOCS,NRO DE TRACKING DOCS ,OBSERVACIONES HORTIFRUT,CARGO PRODUCE OBSERVACIONES
2022-2023,LIQUIPARCIAL,22-176-HPER,4700002557,RENE,HFCH,PLANTAS,HT 73 # 360,-,12894,"34,560",UN,USD,"30,734.16","30,734.16",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,1,-,,,NA,DIRECTO,KOREAN,-,-,-,26/8/2022,29/8/2022,35,180-48464986,-,29/8/2022,35,SI,2-sept,SAASA,AVM,870,2/9/2022,2/9/2022,235-2022-10-130285-01-6-00,29/8/2022,29/8/2022,31/10/2022,,6/9/2022,6/9/2022,NA,NA,6/9/2022,NA,AVM,NA,NA,VIVERO ILUSION,6/9/2022,7/9/2022,36,,001-0116038,NA,-,,,NA,NA,-,Sin cargar por medio de transporte AIRE [22-176-HPER]
2022-2023,LIQUIPARCIAL,22-176-HPER,4700002558,RENE,HFCH,PLANTAS,ROCIO # 360,-,12895,"24,480",UN,USD,"63,685.47","63,685.47",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,0.71,-,,,NA,DIRECTO,KOREAN,-,-,-,26/8/2022,29/8/2022,35,180-48464986,-,29/8/2022,35,SI,2-sept,SAASA,AVM,870,2/9/2022,2/9/2022,235-2022-10-130285-01-6-00,29/8/2022,29/8/2022,31/10/2022,,6/9/2022,6/9/2022,NA,NA,6/9/2022,NA,AVM,NA,NA,VIVERO ILUSION,6/9/2022,7/9/2022,36,,001-0116038,NA,-,,,NA,NA,-,Sin cargar por medio de transporte AIRE [22-176-HPER]
2022-2023,LIQUIPARCIAL,22-176-HPER,4700002558,RENE,HFCH,PLANTAS,ROCIO # 325,-,12895,"9,100",UN,USD,"23,673.93","23,673.93",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,0.29,-,,,NA,DIRECTO,KOREAN,-,-,-,26/8/2022,29/8/2022,35,180-48464986,-,29/8/2022,35,SI,2-sept,SAASA,AVM,870,2/9/2022,2/9/2022,235-2022-10-130285-01-6-00,29/8/2022,29/8/2022,31/10/2022,,6/9/2022,6/9/2022,NA,NA,6/9/2022,NA,AVM,NA,NA,VIVERO ILUSION,6/9/2022,7/9/2022,36,,001-0116038,NA,-,,,NA,NA,-,Sin cargar por medio de transporte AIRE [22-176-HPER]
2022-2023,LIQUIPARCIAL,22-177-HPER,4700002490,TATIANA,INTRALOX,SPAREPARTS,RPTOS VARIOS PARA FAJAS TRANSPORTADORAS ,-,40606119,40,UN,USD,911.83,911.83,0,EXW,AIR,AIR,,MIAMI,LIMA,-,-,1,26/8/2022,,,1/9/2022,DIRECTO,DHL,-,-,20/9/2022,20/9/2022,21/9/2022,38,1517415712,-,22/9/2022,38,NO,NA,DHL,DHL,NA,NA,22/9/2022,235-2022-28-00962014-10-0-00,22/9/2022,21/10/2022,22/9/2022,,NA,NA,NA,DHL,26/9/2022,NA,DHL,NA,NA,PACKING SALAVERRY,3/10/2022,4/10/2022,40,,NA,NA,-,,,NA,NA,-,Sin cargar por medio de transporte AIRE [22-177-HPER // 4700002490]
2022-2023,LIQUIDADO,22-178-HPER,PEA23W1901,RENE,VERITAS,E & E,MUESTRAS,-,-,2,UN,USD,0.00,0.00,0,DAP,AIR,AIR,,MEXICO,LIMA,-,-,1,-,,,NA,DIRECTO,DHL,9910179473,-,-,-,21/9/2022,38,9910179473,-,30/8/2022,35,NO,NA,DHL,DHL,NA,NA,30/8/2022,235-2022-28-00870939-10-1-00,30/8/2022,31/8/2022,31/8/2022,,NA,NA,NA,DHL,NA,NA,DHL,NA,NA,PACKING SALAVERRY,7/9/2022,8/9/2022,36,,NA,NA,-,,,NA,NA,-,Sin cargar por medio de transporte AIRE - [22-178-HPER]
2022-2023,LIQUIPARCIAL,22-179-HPER,4700002447,TATIANA,BBC,SPAREPARTS,RPTOS VARIOS PARA MAQUINA LLENADORA Y PESADORA DE ARANDANOS MARCA CURO,-,CD-1022000008,23,UN,USD,"1,888.42","1,888.42",0,CIF,AIR,AIR,,MIAMI,LIMA,-,-,1,-,,,NA,DIRECTO,DHL,1627675604,-,25/8/2022,-,26/8/2022,34,1627675604,-,30/8/2022,35,NO,NA,DHL,DHL,NA,NA,30/8/2022,235-2022-28-00870939-10-1-00,30/8/2022,21/10/2022,30/8/2022,,NA,NA,NA,DHL,31/8/2022,NA,DHL,NA,NA,PACKING SALAVERRY,7/9/2022,8/9/2022,36,,NA,NA,-,,,NA,NA,-,No cargada por metodo de transporte AIRE [4700002447]
2022-2023,LIQUIPARCIAL,22-180-HPER,4700002491,TATIANA,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,100863,3,UN,USD,"1,039.76","1,039.76",0,EXW,AIR,AIR,,MIAMI,LIMA,-,-,2,18/8/2022,,,20/9/2022,FORBIS,TAMPA,-,-,21/9/2022,2/10/2022,2/10/2022,39,FOR70356980,QT4041,2/10/2022,39,SI,28/9/2022,TALMA,LIP,15095,28/9/2022,28/9/2022,235-2022-10-144357-01-4-00,2/10/2022,21/10/2022,2/10/2022,,NA,NA,NA,LIP,6/10/2022,0001-019200,AGERSA,6/10/2022,NA,PACKING CHAO,7/10/2022,8/10/2022,40,,NA,036-0000384,-,,,NA,NA,-,No cargada por metodo de transporte AIRE [4700002491]
2022-2023,LIQUIPARCIAL,22-180-HPER,4700002505,GONZALO,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,101191,5,UN,USD,"2,377.50","2,377.50",0,EXW,AIR,AIR,,MIAMI,LIMA,-,-,1,30/8/2022,,,20/9/2022,FORBIS,TAMPA,-,-,21/9/2022,2/10/2022,2/10/2022,39,FOR70356980,QT4041,2/10/2022,39,SI,28/9/2022,TALMA,LIP,15095,28/9/2022,28/9/2022,235-2022-10-144357-01-4-00,2/10/2022,21/10/2022,2/10/2022,,NA,NA,NA,LIP,6/10/2022,0001-019200,AGERSA,6/10/2022,NA,PACKING SALAVERRY,7/10/2022,8/10/2022,40,, 0028-002881,036-0000384,-,,,NA,NA,-,No cargada por metodo de transporte AIRE [4700002505]
2022-2023,LIQUIPARCIAL,22-180-HPER,4700002506,GONZALO,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,101192,100,UN,USD,"5,000.00","5,000.00",0,EXW,AIR,AIR,,MIAMI,LIMA,-,-,1,30/8/2022,,,20/9/2022,FORBIS,TAMPA,-,-,21/9/2022,2/10/2022,2/10/2022,39,FOR70356980,QT4041,2/10/2022,39,SI,28/9/2022,TALMA,LIP,15095,28/9/2022,28/9/2022,235-2022-10-144357-01-4-00,2/10/2022,21/10/2022,2/10/2022,,NA,NA,NA,LIP,6/10/2022,0001-019200,AGERSA,6/10/2022,NA,PACKING SALAVERRY,7/10/2022,8/10/2022,40,, 0028-002881,036-0000384,-,,,NA,NA,-,No cargada por metodo de transporte AIRE [4700002506]
2022-2023,LIQUIPARCIAL,22-180-HPER,4700002539,MELANIE,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,101339,"1,082",UN,USD,"7,112.00","7,112.00",0,EXW,AIR,AIR,,MIAMI,LIMA,-,-,1,2/9/2022,,,20/9/2022,FORBIS,TAMPA,-,-,21/9/2022,2/10/2022,2/10/2022,39,FOR70356980,QT4041,2/10/2022,39,SI,28/9/2022,TALMA,LIP,15095,28/9/2022,28/9/2022,235-2022-10-144357-01-4-00,2/10/2022,2/10/2022,2/10/2022,,NA,NA,NA,LIP,6/10/2022,0001-019200,AGERSA,6/10/2022,NA,PACKING SALAVERRY,7/10/2022,8/10/2022,40,, 0028-002881,036-0000384,-,,,NA,NA,-,Sin cargar por medio de transporte AIRE- [22-180-HPER // 4700002539]
