,ESTADO,REF,Importador,OC,BUYER,Proveedor,TIPO PROD,PRODUCTO,FT,CANT,UN,USD,EUR,Valor Final USD,Forma de Pago ,INCOTERM,MODE,TYPE,POD,POL,CTNR TYPE,CTNR QTY,PQ,AGENTE DE CARGA,NAVIERA / AEROLINEA,B/L- AWB,NAVE,ETD,ETA,WEEK,SEGURO HPER,ASEGURADORA,POLIZA PROFORMA  NRO,Días Libres Sobrestadía,Dias libres Almacenaje,DIRECCIONAMIENTO,DEPOT,AG. ADUANA,Orden,Solicitud Proforma,Solicitud Pago,Pago Proforma,Fecha Numeración,DAM,Canal,Fecha Levante,Fecha de Retiro y Entrega Agersa,Lugar Entrega,Transporte,Fecha Entrega Trux,Envío de Provisión,Fecha Liquidación,Fecha Envío Archivo,Observaciones,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-110-HPER,HORTIFRUT-PERU SAC,4700001845,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,DIVINE,9813,"37,000",UN,"$51,985.00",€ 0.00,"$51,985.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49951156,-,19/10/2020,19/10/2020,43,SI,POSITIVA,223413919,-,-,,TALMA,AVM,920,,,,,,Rojo,,21-oct,,AVM,,,30-oct,28-mar,LIQUIDACION PARCIAL 30/OCT. PENDIENTE CPB 278 SOLES ,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-111-HPER,HORTIFRUT-PERU SAC,4700001867,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,9938,"270,000",UN,"$588,600.00",€ 0.00,"$588,600.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49953993,-,9/11/2020,9/11/2020,46,SI,LA POSITIVA,,-,-,,TALMA,AVM,980,,,,,,,,13-nov,,AVM,,,25-nov,28-mar,LIQUIDACION PARCIAL 25/NOV. CPB 278 SOLES 27/ENE,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-112-HPER,HORTIFRUT-PERU SAC,4700001878 - 4700001879 - 4700001880,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,10067,"91,945",UN,"$200,440.10",€ 0.00,"$200,440.10",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49952630,-,30/11/2020,30/11/2020,49,SI,LA POSITIVA, 223521474,-,-,-,TALMA,AVM,1055,30-nov,1-dic,1-dic,1-dic,235-2020-10-162829-01-0-00,ROJO,4-dic,9-dic,OLMOS,AVM,10-dic,-,21-dic,28-mar,LIQUI PARCIAL 21/DIC. CPB S/ 366 27/ENE,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-112-HPER,HORTIFRUT-PERU SAC,4700001878 - 4700001879 - 4700001880,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL - REPOSICION,10068,"43,055",UN,"$93,859.90",€ 0.00,"$93,859.90",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49952630,-,30/11/2020,30/11/2020,49,SI,LA POSITIVA, 223521474,-,-,-,TALMA,AVM,1055,30-nov,1-dic,1-dic,1-dic,235-2020-10-162829-01-0-00,ROJO,4-dic,9-dic,OLMOS,AVM,10-dic,-,21-dic,28-mar,LIQUI PARCIAL 21/DIC. CPB S/ 366 27/ENE,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-112-HPER,HORTIFRUT-PERU SAC,4700001878 - 4700001879 - 4700001880,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,SELECCIONES AVANZADAS,10069,590,UN,$708.00,€ 0.00,$708.00,60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49952630,-,30/11/2020,30/11/2020,49,SI,LA POSITIVA, 223521474,-,-,-,TALMA,AVM,1055,30-nov,1-dic,1-dic,1-dic,235-2020-10-162829-01-0-00,ROJO,4-dic,9-dic,OLMOS,AVM,10-dic,-,21-dic,28-mar,LIQUI PARCIAL 21/DIC. CPB S/ 366 27/ENE,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-114-HPER,HORTIFRUT-PERU SAC,4700001761,RENE RAMIREZ,FASTIK LABEL AND SUPPLY INC,MATERIAL DE EMPAQUE,FILM PUNNET PET 11OZ 5X7,93284,"354,750",UN,"$17,106.05",€ 0.00,"$17,106.05",140 DÍAS,EXW,SEA,LCL/LCL,MIAMI,CALLAO,-,-,3,CH ROBINSON,AIR CANADA,336159058MIA,-,14/10/2020,15/10/2020,42,SI,LA POSITIVA,,,,,TALMA,AVM,915,14-oct,15-oct,,14-oct,,ROJO,,20-oct,SALAVERRY,AGERSA,23-oct,,30-oct,28-mar,-,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-115-HPER,HORTIFRUT-PERU SAC,4700001835,JOSE RIVERA,BIO-FEED SA,EQUIPO E INSTRUMENTACION,BIORECTOR,3,1,UN,"$6,300.00",€ 0.00,"$6,300.00",Contado,EXW,SEA,LCL/LCL,SAN ANTONIO,CALLAO,-,-,2,AIR SEA LOG,MSL,S00002378,CARTAGENA EXPRESS,20/11/2020,24/11/2020,48,SI,LA POSITIVA,,-,30,-,NEPTUNIA,AVM,1022,,,23-nov,20-nov,118-2020-10-394135-01-4-00,Verde,,28-nov,CHAO,AGERSA,,-,21-dic,28-mar,-,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-116-HTAL,HORTIFRUT-TAL SAC,4700001834,JOSE RIVERA,BIO-FEED SA,EQUIPO E INSTRUMENTACION,BIORECTOR,2,1,UN,"$6,300.00",€ 0.00,"$6,300.00",Contado,EXW,SEA,LCL/LCL,SAN ANTONIO,CALLAO,-,-,2,AIR SEA LOG,MSL,S00002377,CARTAGENA EXPRESS,20/11/2020,24/11/2020,48,SI,LA POSITIVA,,,,,NEPTUNIA,AVM,1023,,,,,,Verde,,28-nov,,AGERSA,,-,21-dic,28-mar,-,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-117-HPER,HORTIFRUT-PERU SAC,4700001821,RENE RAMIREZ,FABRICA DE PLASTICOS J.C.K. SPA,MATERIAL DE EMPAQUE,PUNNET CESTA PET UK 150g,439,"820,125",UN,"$21,323.25",€ 0.00,"$21,323.25",90 días,FOB,SEA,FCL/FCL,SAN ANTONIO,CALLAO,40HC,1,,AIR SEA LOG,CMA CGM,S00001992,GUAYAQUIL EXPRESS,30/10/2020,2/11/2020,45,SI,SICHER,,,,,,AVM,967,,,,,,,,,,AGERSA,10-nov,,25-nov,28-mar,-,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-117-HPER,HORTIFRUT-PERU SAC,4700001840,RENE RAMIREZ,FABRICA DE PLASTICOS J.C.K. SPA,MATERIAL DE EMPAQUE,PUNNET PET 11OZ 5X7,439,"544,320",UN,"$41,205.02",€ 0.00,"$41,205.02",90 días,FOB,SEA,FCL/FCL,SAN ANTONIO,CALLAO,40HC,1,692,AIR SEA LOG,CMA CGM,S00001992,GUAYAQUIL EXPRESS,30/10/2020,2/11/2020,45,SI,SICHER,,,,,,AVM,967,,,,,,,,,,AGERSA,10-nov,,25-nov,28-mar,-,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-118-HPER,HORTIFRUT-PERU SAC,4700001865,RENE RAMIREZ,FABRICA DE PLASTICOS J.C.K. SPA,MATERIAL DE EMPAQUE,PUNNET PET 11OZ 5X7,451,"250,560",UN,"$18,967.39",€ 0.00,"$18,967.39",90 días,FOB,SEA,FCL/FCL,SAN ANTONIO,CALLAO,40HC,1,,AIR SEA LOG,CMA CGM,S00002642,VALPARAISO EXPRESS,27/11/2020,30/11/2020,49,SI,SICHER,-,15,30,30-nov,IMUPESA,AVM,1052,30-nov,1-dic,1-dic,28-nov,118-2020-10-405792-01-2-00,Verde,,4-dic,SALAVERRY,AGERSA,5-dic,9-dic,22-dic,28-mar,"LIQUI PARCIAL 22/DIC, VACIO UNIMAR USD 189.50 04/01/21",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-118-HPER,HORTIFRUT-PERU SAC,4700001865,RENE RAMIREZ,FABRICA DE PLASTICOS J.C.K. SPA,MATERIAL DE EMPAQUE,PUNNET CESTA PET UK 150g -JCK,451,"409,455",UN,"$10,645.83",€ 0.00,"$10,645.83",90 días,FOB,SEA,FCL/FCL,SAN ANTONIO,CALLAO,40HC,1,,AIR SEA LOG,CMA CGM,S00002642,VALPARAISO EXPRESS,27/11/2020,30/11/2020,49,SI,SICHER,-,15,30,30-nov,IMUPESA,AVM,1052,30-nov,1-dic,1-dic,28-nov,118-2020-10-405792-01-2-00,Verde,,4-dic,SALAVERRY,AGERSA,5-dic,9-dic,22-dic,28-mar,"LIQUI PARCIAL 22/DIC, VACIO UNIMAR USD 189.50 04/01/21",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-119-HPER,HORTIFRUT-PERU SAC,4700001842,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,PROMICALFOR,20469,"13,000",KGS,$0.00,"€ 48,100.00","$48,100.00",90 días,CIF,SEA,FCL/FCL,BARCELONA,CALLAO,40ST,3,,DIRECTO,CMA CGM,IBC0654219,CALLAO EXPRESS,27/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1033,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-119-HPER,HORTIFRUT-PERU SAC,4700001842,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,MUCIGEL,20469,"5,000",KGS,$0.00,"€ 45,000.00","$45,000.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,1.5,,DIRECTO,CMA CGM,IBC0654219,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1033,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-119-HPER,HORTIFRUT-PERU SAC,4700001842,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,PROMI FERTIL MIX,20469,"19,000",LTS,$0.00,"€ 96,900.00","$96,900.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0654219,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1033,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-119-HPER,HORTIFRUT-PERU SAC,4700001842,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,CYTO FLOW AMIN,20469,"3,260",KGS,$0.00,"€ 35,729.60","$35,729.60",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0654219,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1033,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
