CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORIA,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD ,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST DATE,ASSIGMENT DATE,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),WEEK BASE LIMA,PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,CP OBSERVACIONES,OC2,,
2023-2024,ENTREGADO,23-004-HFEB,NA,CORPORATIVO,HFMX,MAQUINARIAS,LINEA DE EMPAQUE,-,,6.00,UN,USD,,0.00,90,CIF,SEA,FCL/FCL,MEXICO,MANZANILLO,CALLAO,1,40 HC,6,,NA,NA,NA,DIRECTO,COSCO,6357644420,CSNU6553359,29/5/2023,15/6/2023,24,S00045421,CSCL WINTER 047E,24/6/2023,25,NO,NA,IMUPESA,LIP,9328,21/6/2023,28/6/2023,118-23-30-000104-01-0-00,24/6/2023,25/6/2023,5/7/2023,5/7/2023,5/7/2023,8/7/2023,NA,6/7/2023,NA,,NA,#¡VALOR!,OLMOS,6/7/2023,8/7/2023,27,,,,,NA,NA,,
2023-2024,LIQUIDADO,23-004-HPER,PEA23W1901,TATIANA,NAMPLANTS,PLANTAS,PACIFIC CENTENNIAL (FRAMBUESA),-,,"27,800.00",UN,USD,"26,410.00","26,410.00",0,EXW,AIR,AIR,,,LIMA,,,,,NA,,,,,,-,,,52,,,,52,,,,AVM,,,,,,,,PENDIENTE,5/7/2023,NA,,,,,,52,,,,0,,,,,NA,PEA23W1901,,
2023-2024,ENTREGADO,23-005-HFEB,4700002866,FIORELLA,PROMISOL,AGQ,CYTOLAN,-,F/ 23229,"5,000.00",KG,EUR,"58,250.00","64,075.00",90,CIF,SEA,FCL/FCL,ESPAÑA,BARCELONA,CALLAO,0.3,40 HC,7,6/6/2023,NA,NA,NA,DIRECTO,CMA CGM,,FCIU8969052,6/6/2023,10/6/2023,23,IBC1080006,CMA CGM NEVA,9/7/2023,27,NO,NA,IMUPESA,AVM,627,22/6/2023,5/7/2023,118-2023-10-251120-01-3-00,9/7/2023,10/7/2023,9/7/2023,NA,23/7/2023,,AVM,15/7/2023,NA,,NA,#¡VALOR!,OLMOS,15/7/2023,17/7/2023,29,,,,,NA,4700002866,,
2023-2024,ENTREGADO,23-005-HFEB,4700002866,FIORELLA,PROMISOL,AGQ,MUCIGEL,-,F/ 23229,"10,000.00",LT,EUR,"91,500.00","100,650.00",90,CIF,SEA,FCL/FCL,ESPAÑA,BARCELONA,CALLAO,0.3,40 HC,10,6/6/2023,NA,NA,NA,DIRECTO,CMA CGM,,FCIU8969052,6/6/2023,10/6/2023,23,IBC1080006,CMA CGM NEVA,9/7/2023,27,NO,NA,IMUPESA,AVM,627,22/6/2023,5/7/2023,118-2023-10-251120-01-3-00,9/7/2023,10/7/2023,9/7/2023,NA,23/7/2023,,AVM,15/7/2023,NA,,NA,#¡VALOR!,OLMOS,15/7/2023,17/7/2023,29,,,,,NA,4700002866,,
2023-2024,ENTREGADO,23-005-HFEB,4700002866,FIORELLA,PROMISOL,AGQ,PROMI-FERTIL MIX,-,F/ 23229,"6,000.00",KG,EUR,"52,800.00","58,080.00",90,CIF,SEA,FCL/FCL,ESPAÑA,BARCELONA,CALLAO,0.3,40 HC,6,6/6/2023,NA,NA,NA,DIRECTO,CMA CGM,,FCIU8969052,6/6/2023,10/6/2023,23,IBC1080006,CMA CGM NEVA,9/7/2023,27,NO,NA,IMUPESA,AVM,627,22/6/2023,5/7/2023,118-2023-10-251120-01-3-00,9/7/2023,10/7/2023,9/7/2023,NA,23/7/2023,,AVM,15/7/2023,NA,,NA,#¡VALOR!,OLMOS,15/7/2023,17/7/2023,29,,,,,NA,4700002866,,
2023-2024,LIQUIDADO,23-005-HPER,4700002922,TATIANA,NAMPLANTS,PLANTAS,ZARZAMORA,-,INV23-00567,"16,000.00",UN,USD,"31,252.00","31,252.00",0,CPT,AIR,AIR,,LOS ANGELES,LIMA, - , - ,5,,NA,,,,PILOT AIR FREIGHT,,-,13/7/2023,15/7/2023,28,045-08950071,,15/7/2023,28,SI,13/7/2023,TALMA,AVM,695,13/7/2023,17/7/2023,235-2023-10-101117-01-7-00,15/7/2023,15/7/2023,,21/7/2023,31/7/2023,NA,,1/8/2023,T001-489,AVM,,52,1/8/2023,1/8/2023,2/8/2023,31,,,,,NA,4700002922,,
2023-2024,ENTREGADO,23-006-HFEB,4700002886,FIORELLA,PROINECO,AGQ,PROIN AMINO/CALCIMAX/ORG/PHOS,-,1-230051,"18,000.00",LT,EUR,"23,150.00","25,465.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,20 ST,18,,NA,NA,NA,DIRECTO,MAERSK,,MRKU6824454,,4/7/2023,27,228715143,A.P.MOLLER,30/7/2023,30,NO,NA,IMUPESA,AVM,729,24/7/2023,26/7/2023,118-2023-10-281582-01-5-00,30/7/2023,1/8/2023,1/8/2023,NA,NA,,AVM,2/8/2023,,NA,NA,#¡VALOR!,OLMOS,2/8/2023,4/8/2023,31,,,,,NA,4700002886,,
2023-2024,ENTREGADO,23-006-HFEB,4700002887,FIORELLA,PROINECO,AGQ,PROIN AMINO/CALCIMAX/ORG/PHOS,-,1-230051,"18,000.00",LT,EUR,"23,150.00","25,465.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,20 ST,18,,NA,NA,NA,DIRECTO,MAERSK,,MRKU8598546,,4/7/2023,27,228715143,LICA MAERSK 326W,30/7/2023,30,NO,NA,IMUPESA,AVM,729,24/7/2023,26/7/2023,118-2023-10-281582-01-5-00,30/7/2023,1/8/2023,1/8/2023,NA,NA,,AVM,2/8/2023,,NA,NA,#¡VALOR!,OLMOS,2/8/2023,4/8/2023,31,,,,,NA,4700002887,,
2022-2023,LIQUIDADO,23-006-HPER,4700002738,GONZALO,RITEC,EQP & INST,EQUIPOS Y REPUESTOS VARIOS,-,23/21,196.00,UN,USD,"2,677.92","2,677.92",0,EXW,AIR,AIR,ESPAÑA,MADRID,LIMA,-,-,1,13/1/2023,NA,,16/1/2023,FORBIS,PLUS ULTRA,,-,19/1/2023,27/1/2023,4,1284463,,27/1/2023,4,SI,26/1/2023,ALFOSAC,LIP,1645,26/1/2023,27/1/2023,235-2023-10-011626-01-3-00,27/1/2023,27/1/2023,28/1/2023,NA,NA,NA,LIP,31/1/2023, 0001-020088,AGERSA,31/1/2023,5,FUNDO ARMONIA,10/2/2023,11/2/2023,6,21/2/2023, EG03-00000002,EG07-00000035,,NA,4700002738,,
2023-2024,ENTREGADO,23-007-HFEB,4700002900,FIORELLA,PROINECO,AGQ,PROIN AMINO/CALCIMAX/ORG/PHOS,-,1 230054,"18,000.00",LT,EUR,"22,660.00","24,926.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,20 ST,18,,NA,NA,NA,DIRECTO,MAERSK,228995719,MRKU8379070,7/7/2023,12/7/2023,28,228995719,CARSTEN MAERSK 331W,6/8/2023,31,NO,NA,IMUPESA,AVM,776,4/8/2023,4/8/2023,118-2023-10-295883-01-2-00,7/8/2023,7/8/2023,7/8/2023,NA,NA,,NA,,NA,AVM,NA,#¡VALOR!,OLMOS,,11/8/2023,32,,,,,NA,4700002900,,
2022-2023,LIQUIDADO,23-007-HPER,4700002755,GONZALO,NANO,EQP & INST,NANOPARTICULAS DE PLATA C/PVP 240 ML,-,3,480.00,UN,USD,131.00,131.00,0,DAP,AIR,AIR,MEXICO,MEXICO,LIMA,-,-,1,,NA,,-,DHL,DHL,,-,18/1/2023,22/1/2023,3,4411900301,DHL COURIER,23/1/2023,4,NO,NA,DHL,DHL,NA,NA,22/1/2023, 235-2023-28-00086778-10-2-00,23/1/2023,23/1/2023,23/1/2023,NA,NA,NA,DHL,23/1/2023,,DHL,11/7/2023,28,FUNDO ARMONIA,28/1/2023,29/1/2023,4,31/1/2023,,,,NA,4700002755,,
2023-2024,ENTREGADO,23-008-HFEB,4700002868,FIORELLA,FASTIK,E & E,PUNNET PET 11OZ 5X7,-,86465/102523,"2,000,000.00",UN,USD,"89,580.00","89,580.00",0,EXW,AIR,AIR,CANADA,VANCOUVER,LIMA, - , - ,5,,NA,14/8/2023,15/8/2023,AIRSEALOG,,,,,25/8/2023,34,MAE00106811,,28/8/2023,35,NO,NA,SHOHIN,PASOC,85874,24/8/2023,25/8/2023,235-2023-10-122754-01-6-00,28/8/2023,28/8/2023,28/8/2023,NA,NA,,PASOC,,,,,52,OLMOS,,13/9/2023,37,,11/9/2023,,,NA,4700002868,,
2023-2024,ENTREGADO,23-008-HFEB,4700002979,FIORELLA,FASTIK,E & E,PUNNET PET 11OZ 5X7,-,86465/102523,"220,000.00",UN,USD,"9,853.80","9,853.80",0,EXW,AIR,AIR,CANADA,VANCOUVER,LIMA, - , - ,1,,NA,14/8/2023,15/8/2023,AIRSEALOG,,,,,25/8/2023,34,MAE00106811,,28/8/2023,35,NO,NA,SHOHIN,PASOC,85874,24/8/2023,6/9/2023,235-2023-10-128288-01-7-00,28/8/2023,28/8/2023,28/8/2023,NA,NA,,PASOC,,,,,52,OLMOS,,13/9/2023,37,,11/9/2023,,,NA,4700002979,,
2023-2024,LIQUIDADO,23-008-HPER,4700002762,OMAR,PROMISOL,AGQ,PROMI CALFOR,-,F/23022,"20,000.00",KG,EUR,"78,800.00","86,680.00",90,FOB,SEA,FCL/FCL,ESPAÑA,BARCELONA,CALLAO,1,20 ST,17,24/1/2023,24/1/2023,,25/1/2023,AIRSEALOG,HAPAG,S00025548,TEMU1588527,,3/2/2023,5,PBEM046030,CMA CGM CARL ANTOINE,2/3/2023,9,SI,6/2/2023,IMUPESA,PASOC,70117,21/2/2023,27/2/2023,118-2023-10-075620-01-1-00,3/3/2023,3/3/2023,2/3/2023,NA,NA,15/3/2023,PASOC,7/3/2023,T1 T001-1923,AGERSA,11/7/2023,28,FUNDO ARMONIA,7/3/2023,8/3/2023,10,20/3/2023,EG03-00000009,EG07-00000041,,Carga completada. Quedó sin booking [23-008-HPER // 4700002762 // TEMU1588527],4700002762,,
2023-2024,ENTREGADO,23-009-HFEB,4700002907,FIORELLA,PROINECO,AGQ,PROIN PHOS ,-,1-230057,"18,000.00",LT,EUR,"37,440.00","41,184.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,20 ST,18,,NA,NA,NA,DIRECTO,MAERSK,,TEMU1536863,,1/8/2023,31,229164235,MAERSK BULAN 329S,18/8/2023,33,NO,NA,IMUPESA,AVM,775,4/8/2023,11/8/2023,118-2023-10-306476-01-5-00,18/8/2023,19/8/2023,18/8/2023,NA,NA,,,,,,,52,OLMOS,22/8/2023,24/8/2023,34,,,,,NA,4700002907,,
2023-2024,LIQUIDADO,23-009-HPER,4700002761-1,OMAR,CODIAGRO,AGQ,FITOKONTROL-K,-,59,"17,000.00",LT,EUR,"41,126.40","45,239.04",0,EXW,SEA,FCL/FCL,ESPAÑA,VALENCIA,CALLAO,1,20 ST,17,3/2/2023,25/1/2023,,25/1/2023,AIRSEALOG,HAPAG,S00025549,GESU1218537,6/2/2023,10/2/2023,6,PVEM018802,SANTOS EXPRESS 3208S,24/3/2023,12,SI,16/2/2023,IMUPESA,PASOC,71346,5/3/2023,20/3/2023,118-2023-10-102230-01-5-00,25/3/2023,25/3/2023,23/3/2023,NA,NA,7/4/2023,PASOC,28/3/2023,T001-2591,AGERSA,28/3/2023,13,FUNDO ARMONIA,4/4/2023,5/4/2023,14,10/4/2023,EG03-00000064,EG07-00000050,,"Carga completada. Quedó sin Ag. Carga,sin booking, método de pago FOB y en BD es EXW[23-009-HPER // 4700002761-1 // GESU1218537]",4700002761-1,,
2023-2024,ENTREGADO,23-010-HFEB,4700002905,FIORELLA,PROINECO,AGQ,PROIN AMINO/CALCIMAX/ORG/PHOS,-,1-230058,"18,000.00",LT,EUR,"22,660.00","24,926.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,20 ST,18,,NA,NA,NA,DIRECTO,MAERSK,,TTNU1145970,,2/8/2023,31,229394237,MAERSK BINTAN 331S,1/9/2023,35,NO,NA,ALCONSA,PASOC,85526,17/8/2023,31/8/2023,118-2023-10-331805-01-9-00,2/9/2023,3/9/2023,1/9/2023,NA,NA,,PASOC,,,,,52,OLMOS,6/9/2023,8/9/2023,36,,,,,NA,4700002905,,
2023-2024,LIQUIDADO,23-010-HPER,4700002761-2,OMAR,CODIAGRO,AGQ,FITOKONTROL-K,-,60,"1,000.00",LT,EUR,"2,419.20","2,661.12",0,EXW,SEA,LCL/LCL,ESPAÑA,VALENCIA,CALLAO,0,20 ST,1,3/2/2023,26/1/2023,,25/1/2023,FORBIS,CMA CGM,,TCNU3508412,6/2/2023,14/2/2023,7,12023020363,CALLAO EXPRESS,9/3/2023,10,SI,16/2/2023,IMUPESA,PASOC,71342,27/2/2023,8/3/2023,118-2023-10-088438-01-0-00,10/3/2023,10/3/2023,9/3/2023,NA,NA,NA,PASOC,14/3/2023, T001-2179,AGERSA,14/3/2023,11,FUNDO ARMONIA,19/3/2023,20/3/2023,12,20/3/2023,EG03-00000013,EG07-00000042,,"Carga completada. Quedo sin booking, método de pago FOB y en BD es EXW [23-010-HPER // 4700002761-2 // TCNU3508412]",4700002761-2,,
2023-2024,ENTREGADO,23-011-HFEB,4700002906,FIORELLA,PROINECO,AGQ,PROIN AMINO/CALCIMAX/ORG/PHOS,-,1-230066,"18,000.00",LT,EUR,"22,660.00","24,926.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,,18,,NA,NA,NA,DIRECTO,MAERSK,,MRKU8625940,,22/8/2023,34,229606855,MAERSK BATAM 333S,15/9/2023,37,NO,NA,IMUPESA,PASOC,87557,6/9/2023,14/9/2023,118-2023-10-352735-01-1-00,15/9/2023,16/9/2023,15/9/2023,NA,NA,28/9/2023,,,,,,52,,,22/9/2023,38,,,,,NA,4700002906,,
2023-2024,LIQUIDADO,23-011-HPER,PEA23U0101,TATIANA,GREEN,E & E,MUESTRA,SAMPLE, ESB73477598,10.00,UN,EUR,1.00,1.10,DAP,DAP,AIR,AIR,ESPAÑA,MADRID,LIMA,-,-,1,,NA,,-,DHL,DHL,,-,6/2/2023,7/2/2023,6,4120835106,DHL COURIER,8/2/2023,6,NO,NA,DHL,DHL,NA,NA,7/2/2023,235-2023-28-00133097-10-9-00,8/2/2023,8/2/2023,8/2/2023,NA,NA,NA,NA,9/2/2023,,DHL,NA,#¡VALOR!,PACKING SALAVERRY,,9/2/2023,6,,8/2/2023,,,NA,PEA23U0101,,
2023-2024,ENTREGADO,23-012-HFEB,4700002901,FIORELLA,PROINECO,AGQ,PROIN AMINO/CALCIMAX/PHOS,-,1 230056,"18,000.00",LT,EUR,"26,340.00","28,974.00",15,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,1,20 ST,18,,NA,NA,NA,DIRECTO,MAERSK,,TCLU9915697,11/7/2023,19/7/2023,29,229082585,SKAGEN MAERSK 332W,14/8/2023,33,NO,NA,IMUPESA,AVM,787,7/8/2023,9/8/2023,118-2023-10-301809-01-6-00,15/8/2023,,14/8/2023,NA,NA,,,,,,,52,,,21/8/2023,34,,19/8/2023,,,NA,4700002901,,
2023-2024,LIQUIDADO,23-012-HPER,PEA23U0101,TATIANA,PBINI,E & E,MUESTRA,SAMPLE,FE - 104/E,1.00,UN,EUR,8.95,9.85,DAP,DAP,AIR,AIR,ITALIA,LIVORNO ,LIMA,-,-,2,,NA,,-,DHL,DHL,,-,6/2/2023,8/2/2023,6,9459500584,DHL COURIER,10/2/2023,6,NO,NA,DHL,DHL,NA,NA,8/2/2023,235-2023-28-00136991-10-2-00,10/2/2023,10/2/2023,9/2/2023,NA,NA,NA,NA,10/2/2023,,DHL,NA,#¡VALOR!,PACKING SALAVERRY,,9/2/2023,6,,8/2/2023,,,NA,PEA23U0101,,
2023-2024,ENTREGADO,23-013-HFEB,4700002921,FIORELLA,HF IMPORTS,E & E,FILM PUNNET PET 11OZ ORG,-,4282026,"275,000.00",UN,USD,"18,394.75","18,394.75",30,EXW,AIR,AIR,USA,MIAMI,LIMA,NA,NA,2,,NA,26/7/2023,4/7/2023,AIRSEALOG,,,,23/8/2023,27/8/2023,34,96AMIA234048,NC0860,27/8/2023,34,NO,NA,ALFOSAC,PASOC,85929,25/8/2023,25/8/2023,"	 235-2023-10-122720-01-4-00",27/8/2023,27/8/2023,4/9/2023,NA,NA,,PASOC,,,,,52,OLMOS,,13/9/2023,37,,11/9/2023,,,NA,4700002921,,
2023-2024,ENTREGADO,23-014-HFEB,4700002919-1,FIORELLA,JCK,E & E,PUNNET PET 11OZ 5X7,,862,"498,240.00",UN,USD,"29,894.40","29,894.40",30,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,692,21/7/2023,NA,NA,21/7/2023,AIRSEALOG,HAPAG,,TCLU8232000,2/8/2023,7/8/2023,32,ASLCLS00030998,MAERSK EVERGLADES 329W,11/8/2023,32,NO,,IMUPESA,PASOC,84310,7/8/2023,9/8/2023,118-2023-10-302162-01-6-00,12/8/2023,13/8/2023,11/8/2023,NA,NA,24/8/2023,,,,,,52,,,17/8/2023,33,,15/8/2023,,,NA,4700002919-1,,
2023-2024,LIQUIDADO,23-014-HPER,4700002794,TATIANA,HFCH,PLANTAS,MUESTRA,SAMPLE,14040,149.00,UN,USD,329.90,329.90,0,CFR,AIR,AIR,CHILE,SANTIAGO,LIMA,-,-,1,,NA,,-,-,KOREAN,,-,,13/2/2023,7,180-12503260,KE0274,13/2/2023,7,SI,13/2/2023,SAASA,AVM,206,13/2/2023,13/2/2023,235-2023-10-019774-01-1-00,13/2/2023,13/2/2023,13/2/2023,15/2/2023,15/2/2023,NA,NA,16/2/2023,001-0120567,AVM,NA,#¡VALOR!,VIVERO ILUSION,,17/2/2023,7,24/2/2023,16/2/2023,,,NA,4700002794,,
2023-2024,ENTREGADO,23-015-HFEB,4700003051,FIORELLA,JCK,E & E,PUNNET PET 11OZ 5X7,-,877,"296,480.00",UN,USD,"17,788.80","17,788.80",30,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,0.5,40 HC,412,,NA,NA,21/7/2023,AIRSEALOG,HAPAG,,HLXU8311778,5/10/2023,8/10/2023,40,ASLCLS00033297,SAN ANTONIO EXPRESS,12/10/2023,41,NO,NA,IMUPESA,AVM,967,9/10/2023,10/10/2023,118-2023-10-389686-01-2-00,,,,NA,NA,,,,,,,52,,,19/10/2023,42,,,,,NA,4700003051,,
2023-2024,ENTREGADO,23-015-HFEB,4700002919-2,FIORELLA,JCK,E & E,PUNNET PET 11OZ 5X7,-,877,#¡REF!,UN,USD,#¡REF!,#¡REF!,30,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,0.5,40 HC,#¡REF!,,NA,NA,21/7/2023,AIRSEALOG,HAPAG,,HLXU8311778,5/10/2023,8/10/2023,40,ASLCLS00033297,SAN ANTONIO EXPRESS,12/10/2023,41,NO,NA,IMUPESA,AVM,967,9/10/2023,10/10/2023,118-2023-10-389686-01-2-00,,,,NA,NA,,,,,,,52,,,19/10/2023,42,,,,,NA,4700002919-2,,
2023-2024,LIQUIDADO,23-015-HPER,4700002780,TATIANA,HF GENETICS,PLANTAS,IMPERIAL - REPOSICION,,7020000059,"38,025.00",UN,USD,"74,148.75","74,148.75",0,CFR,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,2,,NA,,-,-,KOREAN,,-,,14/2/2023,7,180-12503072,KE0274,13/2/2023,7,SI,13/2/2023,SAASA,AVM,207,13/2/2023,13/2/2023,235-2023-10-020031-01-9-00,13/2/2023,13/2/2023,13/2/2023,15/2/2023,15/2/2023,NA,NA,16/2/2023,001-0120566,AVM,NA,#¡VALOR!,VIVERO ILUSION,,17/2/2023,7,20/2/2023,16/2/2023,,,NA,4700002780,,
2023-2024,ENTREGADO,23-016-HFEB,4700002936,FIORELLA,NOVATEC,E & E,TARIMA NOVAPAL 130,-,CF193206,380.00,UN,USD,"12,132.00","12,132.00",0,CFR,SEA,FCL/FCL,MEXICO,,CALLAO,,,,,NA,NA,NA,DIRECTO,HAPAG,66905751,TEMU4862436,,27/8/2023,34,HLCUME3230837397,SEASPAN BELIEF 2331E,3/9/2023,35,NO,NA,,AVM,857,31/8/2023,1/9/2023,118-2023-10-333913-01-3-00 ,4/9/2023,4/9/2023,4/9/2023,NA,NA,7/9/2023,AVM,,,,,52,OLMOS,8/9/2023,9/9/2023,36,,,,,NA,4700002936,,
2023-2024,LIQUIDADO,23-016-HPER,4700002763,GONZALO,GUTTIS,EQP & INST,ARROW ANG SHRT 2.30L/H 0.61GPH BLACK,-,EI23800034,"16,000.00",UN,USD,786.80,786.80,0,CIF,AIR,AIR,ISRAEL,HAIFA,LIMA,-,-,1,,NA,,-,-,AIR FRANCE,,-,,22/2/2023,8,057-0006 2941,,24/2/2023,8,NO,NA,SAASA,LIP,3035,20/2/2023,20/2/2023,235-2023-10-023590-01-9-00,24/2/2023,25/2/2023,27/2/2023,NA,NA,NA,LIP,28/2/2023,T001-11,AGERSA,28/2/2023,9,FUNDO ARMONIA,,2/3/2023,9,8/3/2023,1/3/2023,EG07-00000040,,NA,4700002763,,
2023-2024,ENTREGADO,23-017-HFEB,,FIORELLA,CRAWFORD,E & E,FILM,SAMPLE,,1.00,UN,MXN,1.00,1.00,0,DDP,SEA,AIR,MEXICO,QUERETARO ,LIMA, - , - ,1,,NA,NA,NA,DHL,DHL,,,13/9/2023,14/9/2023,37,7141085420,,18/9/2023,38,NO,NA,DHL,DHL,,,18/9/2023,235-2023-28-01171094-41-8-00,18/9/2023,18/9/2023,18/9/2023,NA,NA,7/9/2023,DHL,,,,,52,OLMOS,19/9/2023,20/9/2023,38,,,,,NA,0,,
2022-2023,LIQUIDADO,23-017-HPER,4700002641-2,TATIANA,FASTIK,E & E,FILM PUNNET PET 18OZ 7X7 CESTA,-,101095,"1,232,000.00",UN,USD,"91,525.28","91,525.28",0,EXW,SEA,LCL/LCL,USA,MIAMI,CALLAO,-,-,8,27/1/2023,27/2/2023,,16/2/2023,AIRSEALOG,SEABOARD,,WFHU5170760,27/2/2023,10/3/2023,10,MIA/CAL/10223,HANSA HORNEBURG 39,21/3/2023,12,SI,15/3/2023,DP WORLD,PASOC,72247,15/3/2023,17/3/2023,118-2023-10-100930-01-1-00,21/2/2023,22/2/2023,21/2/2023,NA,NA,NA,PASOC,25/3/2023,T001-2486,AGERSA,25/3/2023,12,PACKING SALAVERRY,,4/4/2023,14,10/4/2023,3/4/2023,EG07-00000047,,"Carga completada. Quedó sin BL, sin Factura  [23-017-HPER // 4700002641-2 // WFHU5170760]",4700002641-2,,
2023-2024,ENTREGADO,23-018-HFEB,4700002946,VICTOR,A&B,SPAREPARTS,REPUESTOS VARIOS,-,20457,175.00,UN,USD,"11,499.64","11,499.64",0,CPT,AIR,AIR,USA,MIAMI,LIMA,NA,NA,3,,NA,NA,NA,NA,FEDEX,,,,16/8/2023,33,646268975183,,19/8/2023,33,NO,NA,,LIP,12640,17/8/2023,17/8/2023,235-2023-10-117842-01-8-00,19/8/2023,19/8/2023,24/8/2023,NA,NA,,,,,,,52,,,4/9/2023,36,,,,,NA,4700002946,,
2023-2024,LIQUIDADO,23-018-HPER ,4700002878,CORPORATIVO,HFMX,PLANTAS,ARANDANO IN VITRO,HUB,1602,400.00,UN,USD,288.00,288.00,0,CFR,AIR,AIR,MEXICO,GUADALAJARA,LIMA,-,-,1,,NA,,,,AEROMEXICO,,,24/5/2023,25/5/2023,21,139-46295594,,28/5/2023,21,SI,26/5/2023,SAASA,AVM,519,26/5/2023,27/5/2023,235-2023-10-074827-01-6-00,28/5/2023,28/5/2023,27/5/2023,6/6/2023,6/6/2023,,,7/6/2023,T001-247,NA,NA,#¡VALOR!,VIVERO ILUSION,,7/6/2023,23,10/6/2023,7/6/2023,,,NA,4700002878,,
2023-2024,ENTREGADO,23-019-HFEB,,FIORELLA,HF IMPORTS,MAQUINARIAS,TOOLING PARA PUNNET 125G,-,20230718-2,1.00,UN,USD,60.00,60.00,0,EXW,AIR,AIR,USA,,,NA,NA,2,,NA,,,AIRSEALOG,,,,29/9/2023,14/10/2023,41,96AMIA234999,,14/10/2023,41,NO,NA,TALMA,LIP,16016,13/4/2023,13/4/2023,235-2023-10-149082-01-9-00,14/10/2023,14/10/2023,17/10/2023,NA,NA,,LIP,18/10/2023,,,,52,,,20/10/2023,42,,,,,NA,0,,
2023-2024,LIQUIDADO,23-019-HPER,4700002785,TATIANA,PROJAR,SUSTRATOS,FIBRA DE COCO,-,FE23-00194,17.00,BOL,EUR,"9,826.00","10,808.60",20%AP,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,0.74,40 HC,17,,27/2/2023,,-,DIRECTO,MAERSK,,MRKU2233031,,22/3/2023,12,225637395,CAROLINE MAERSK,16/4/2023,15,NO,NA,IMUPESA,AVM,349,6/4/2023,14/4/2023,118-2023-10-133393-01-3-00,18/4/2023,18/4/2023,16/4/2023,20/4/2023,20/4/2023,,AVM,29/4/2023,T001-176,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,17/5/2023,20,22/5/2023,16/5/2023,EG007-00000064,,Carga completada. Quedó sin booking[ 23-019-HPER // 4700002785],4700002785,,
2023-2024,LIQUIDADO,23-019-HPER,4700002785,TATIANA,PROJAR,SUSTRATOS,TURBA,-,FE23-00194,6.00,BOL,EUR,"3,270.00","3,597.00",20%AP,CIF,SEA,FCL/FCL,ESPAÑA,ALGECIRAS,CALLAO,0.26,40 HC,6,,27/2/2023,,-,DIRECTO,MAERSK,,MRKU2233031,,22/3/2023,12,225637395,CAROLINE MAERSK,16/4/2023,15,NO,NA,IMUPESA,AVM,349,6/4/2023,14/4/2023,118-2023-10-133393-01-3-00,18/4/2023,18/4/2023,16/4/2023,20/4/2023,27/4/2023,,AVM,29/4/2023,T001-176,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,17/5/2023,20,22/5/2023,16/5/2023,EG007-00000064,,Carga completada. Quedó sin booking [ 23-019-HPER // 4700002785],4700002785,,
2023-2024,ENTREGADO,23-020-HFEB,4700003052,FIORELLA,PROMISOL,AGQ,MUCIGEL,-,F-23365,"2,000.00",LT,EUR,"17,800.00","19,580.00",120,EXW,SEA,LCL/LCL,ESPAÑA,BARCELONA,CALLAO,,,2,,NA,28/9/2023,3/10/2023,FORBIS,,,CMAU7639301,10/10/2023,21/10/2023,42,12023100783,KRISTINA 0DVHDS1MA,19/11/2023,46,,,VILLAS OQUENDO,AVM,1103,15/11/2023,21/11/2023,118-2023-10-446672-01-8-00,19/11/2023,20/11/2023,,NA,NA,,,,,,,52,,,29/11/2023,48,,,,,NA,4700003052,,
