CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORIA,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD ,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST DATE,ASSIGMENT DATE,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),WEEK BASE LIMA,PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,CP OBSERVACIONES,OC2,,
2022-2023,LIQUIDADO,22-275-HPER,4700002686-2,TATIANA,JCK,E & E,PUNNET PET 18OZ 7X7 CESTA,-,792,"157,836.00",UN,USD,"29,137.83","29,137.83",90,FOB,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,658,20/12/2022,19/12/2022,,20/12/2022,AIRSEALOG,HAPAG,64203481,UETU5145122,,30/12/2022,52,ASLCLS00024386,VALPARAISO EXPRESS 2247N,2/1/2023,1,SI,29/12/2022,IMUPESA,PASOC,64649,29/12/2022,30/12/2022,118-2022-10-511663-01-5-00,3/1/2023,4/1/2023,2/1/2023,NA,NA,15/1/2023,PASOC,9/1/2023, 001-0391631,AGERSA,9/1/2023,2,PACKING CHAO,10/1/2023,11/1/2023,2,,0042-002240 ,036-0000724 ,,OK,4700002686-2,,
2022-2023,LIQUIDADO,22-276-HPER,4700002653,GONZALO,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,w,40.00,UN,USD,"3,310.00","3,310.00",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,1,25/11/2022,NA,,20/12/2022,AIRSEALOG,NORTHERN,-,-,4/1/2023,15/1/2023,2,91AMIA23101 ,NC860,15/1/2023,2,SI,12/1/2023,ALFOSAC,LIP,832,12/1/2023,13/1/2023,235-2023-10-004722-01-0-00,15/1/2023,15/1/2023,16/1/2023,NA,NA,NA,LIP,17/1/2023,0001-020037,AGERSA,17/1/2023,3,PACKING SALAVERRY,26/1/2023,27/1/2023,4,,0032-002470,EG07-00000032,,NA,4700002653,,
2022-2023,LIQUIDADO,22-276-HPER,4700002662,GONZALO,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,20101,60.00,UN,USD,"21,215.00","21,215.00",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,2,25/11/2022,NA,,20/12/2022,AIRSEALOG,NORTHERN,-,-,4/1/2023,15/1/2023,2,91AMIA23101 ,NC860,15/1/2023,2,SI,12/1/2023,ALFOSAC,LIP,832,12/1/2023,13/1/2023,235-2023-10-004722-01-0-00,15/1/2023,15/1/2023,16/1/2023,NA,NA,NA,LIP,17/1/2023,0001-020037,AGERSA,17/1/2023,3,PACKING CHAO,26/1/2023,27/1/2023,4,,0032-002470,EG07-00000032,,NA,4700002662,,
2022-2023,LIQUIDADO,22-276-HPER,4700002730,MELANIE,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,20203,124.00,UN,USD,"5,477.04","5,477.04",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,1,25/11/2022,NA,,20/12/2022,AIRSEALOG,NORTHERN,-,-,4/1/2023,15/1/2023,2,91AMIA23101 ,NC860,15/1/2023,2,SI,12/1/2023,ALFOSAC,LIP,832,12/1/2023,13/1/2023,235-2023-10-004722-01-0-00,15/1/2023,15/1/2023,16/1/2023,NA,NA,NA,LIP,17/1/2023,0001-020037,AGERSA,17/1/2023,3,PACKING SALAVERRY,26/1/2023,27/1/2023,4,,0032-002470,EG07-00000032,,NA,4700002730,,
2022-2023,LIQUIDADO,22-279-HPER,4700002737,GONZALO,GUTTIS,EQP & INST,EQUIPOS Y REPUESTOS VARIOS,-,EI23800025,146.00,UN,USD,"26,120.65","26,120.65",50%AP,CIF,AIR,AIR,ISRAEL,HAIFA,LIMA,,-,3,23/1/2023,NA,,-,-,AIR FRANCE,,-,,28/1/2023,4,057-12822213,480,29/1/2023,4,NO,NA,SAASA,LIP,1762,28/1/2023,28/1/2023,235-2023-10-012847-01-3-00,29/1/2023,29/1/2023,31/1/2023,NA,NA,NA,LIP,2/2/2023,001-020089,AGERSA,2/2/2023,5,FUNDO ARMONIA,10/2/2023,11/2/2023,6,20/2/2023,EG03-00000003,EG07-00000036,,NA,4700002737,,
2022-2023,LIQUIDADO,22-280-HPER,4700002732,MELANIE,UNITEC,SPAREPARTS,RPTOS VARIOS PARA MAQUINA CALIBRADORA DE ARANDANOS,-,120,228.00,UN,EUR,"1,632.69","1,795.96",0,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,-,-,1,26/12/2022,NA,,27/12/2022,AIRSEALOG,KOREAN,,-,4/1/2023,6/1/2023,1,PELIM23001E,-,6/1/2023,1,SI,5/1/2023,ALFOSAC,LIP,335,5/1/2023,5/1/2023, 235-2023-10-001498-01-2-00,6/1/2023,6/1/2023,6/1/2023,NA,NA,NA,LIP,7/1/2023, 0001-020008,AGERSA,7/1/2023,1,PACKING SALAVERRY,10/1/2023,11/1/2023,2,, 0051-002528, EG07-00000025,,NA,4700002732,,
2023-2024,ENTREGADO,23-001-HFEB,4700002840-1,FIORELLA,JCK,E & E,PUNNET 250G H40 JCK,-,847,"601,560.00",UN,USD,"24,062.40","24,062.40",90,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,557,16/5/2023,NA,,16/5/2023,AIRSEALOG,HAPAG,,HLBU1323105,26/5/2023,29/5/2023,22,ASLCLS00028996,MAERSK BISCAYNE 319W,2/6/2023,22,NO,,TPP,AVM,23/000529,30/5/2023,31/5/2023,118-2023-10-200485-01-4-00,3/6/2023,4/6/2023,,NA,NA,,,,,,,52,,,12/6/2023,24,,,,,[23-001-HFEB/4700002840],4700002840-1,,
2023-2024,ENTREGADO,23-001-HFEB,4700002840-1,FIORELLA,JCK,E & E,PUNNET 250G H40 JCK,-,847,"601,560.00",UN,USD,"24,062.40","24,062.40",90,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,557,16/5/2023,NA,,16/5/2023,AIRSEALOG,HAPAG,,TCNU3702876,26/5/2023,29/5/2023,22,ASLCLS00028996,MAERSK BISCAYNE 319W,2/6/2023,22,NO,,TPP,AVM,23/000529,30/5/2023,31/5/2023,118-2023-10-200485-01-4-00,3/6/2023,4/6/2023,,NA,NA,,,,,,,52,,,12/6/2023,24,,,,,[23-001-HFEB/4700002840],4700002840-1,,
2023-2024,LIQUIDADO,23-001-HPER,4700002757,TATIANA,HF GENETICS,PLANTAS,MILAGRO #325 - REPOSICION ,-,7020000050,"34,775.00",UN,USD,"31,454.50","31,454.50",30,CFR,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,1,,NA,,-,DIRECTO,KOREAN,,-,,9/1/2023,2,180-48396191,KE 0274,9/1/2023,2,SI,9/1/2023,SAASA,AVM,106,9/1/2023,10/1/2023,235-2023-10-003045-01-5-00,9/1/2023,9/1/2023,10/1/2023,11/1/2023,11/1/2023,NA,AVM,12/1/2023,001-0120430,AVM,NA,#¡VALOR!,VIVERO ILUSION,12/1/2023,13/1/2023,2,17/1/2023,,,,NA,4700002757,,
2023-2024,LIQUIDADO,23-001-HPER,4700002757,TATIANA,HF GENETICS,PLANTAS,MILAGRO #360 - REPOSICION ,-,7020000050,"1,800.00",UN,USD,"31,454.50","31,454.50",30,CFR,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,1,,NA,,-,DIRECTO,KOREAN,,-,,9/1/2023,2,180-48396191,KE 0274,9/1/2023,2,SI,9/1/2023,SAASA,AVM,106,9/1/2023,10/1/2023,235-2023-10-003045-01-5-00,9/1/2023,9/1/2023,10/1/2023,11/1/2023,11/1/2023,NA,AVM,12/1/2023,001-0120430,AVM,NA,#¡VALOR!,VIVERO ILUSION,12/1/2023,13/1/2023,2,17/1/2023,,,,NA,4700002757,,
